Energy,Counts
2,134
2.02346,138
2.04692,123
2.07038,119
2.09384,144
2.1173,135
2.14076,120
2.16422,114
2.18768,147
2.21114,122
2.2346,107
2.25806,117
2.28152,109
2.30499,117
2.32845,94
2.35191,110
2.37537,116
2.39883,119
2.42229,109
2.44575,102
2.46921,113
2.49267,120
2.51613,112
2.53959,101
2.56305,107
2.58651,120
2.60997,129
2.63343,127
2.65689,106
2.68035,128
2.70381,101
2.72727,137
2.75073,100
2.77419,134
2.79765,92
2.82111,135
2.84457,118
2.86804,117
2.8915,109
2.91496,111
2.93842,114
2.96188,114
2.98534,86
3.0088,88
3.03226,118
3.05572,108
3.07918,118
3.10264,120
3.1261,118
3.14956,118
3.17302,97
3.19648,132
3.21994,128
3.2434,127
3.26686,122
3.29032,127
3.31378,105
3.33724,119
3.3607,85
3.38416,119
3.40762,97
3.43109,107
3.45455,104
3.47801,111
3.50147,130
3.52493,115
3.54839,120
3.57185,101
3.59531,105
3.61877,123
3.64223,121
3.66569,115
3.68915,124
3.71261,101
3.73607,121
3.75953,77
3.78299,121
3.80645,109
3.82991,96
3.85337,109
3.87683,113
3.90029,96
3.92375,111
3.94721,105
3.97067,114
3.99413,105
4.0176,141
4.04106,116
4.06452,103
4.08798,107
4.11144,110
4.1349,118
4.15836,117
4.18182,112
4.20528,120
4.22874,126
4.2522,105
4.27566,111
4.29912,93
4.32258,104
4.34604,104
4.3695,101
4.39296,99
4.41642,107
4.43988,102
4.46334,104
4.4868,112
4.51026,106
4.53372,138
4.55718,99
4.58065,96
4.60411,97
4.62757,110
4.65103,105
4.67449,101
4.69795,92
4.72141,93
4.74487,116
4.76833,83
4.79179,107
4.81525,110
4.83871,97
4.86217,101
4.88563,102
4.90909,106
4.93255,121
4.95601,103
4.97947,120
5.00293,111
5.02639,117
5.04985,114
5.07331,106
5.09677,96
5.12023,113
5.14369,122
5.16716,99
5.19062,106
5.21408,101
5.23754,126
5.261,113
5.28446,110
5.30792,96
5.33138,106
5.35484,98
5.3783,93
5.40176,103
5.42522,112
5.44868,109
5.47214,104
5.4956,86
5.51906,93
5.54252,115
5.56598,95
5.58944,84
5.6129,100
5.63636,101
5.65982,101
5.68328,87
5.70674,96
5.73021,110
5.75367,108
5.77713,93
5.80059,100
5.82405,99
5.84751,103
5.87097,94
5.89443,97
5.91789,103
5.94135,115
5.96481,114
5.98827,112
6.01173,114
6.03519,116
6.05865,114
6.08211,107
6.10557,105
6.12903,135
6.15249,110
6.17595,106
6.19941,99
6.22287,97
6.24633,104
6.26979,114
6.29326,103
6.31672,95
6.34018,108
6.36364,102
6.3871,109
6.41056,113
6.43402,107
6.45748,105
6.48094,109
6.5044,86
6.52786,116
6.55132,115
6.57478,103
6.59824,104
6.6217,110
6.64516,94
6.66862,75
6.69208,101
6.71554,118
6.739,113
6.76246,126
6.78592,125
6.80938,100
6.83284,110
6.85631,100
6.87977,113
6.90323,99
6.92669,91
6.95015,97
6.97361,106
6.99707,122
7.02053,128
7.04399,108
7.06745,104
7.09091,112
7.11437,97
7.13783,97
7.16129,70
7.18475,97
7.20821,102
7.23167,106
7.25513,116
7.27859,109
7.30205,92
7.32551,109
7.34897,112
7.37243,100
7.39589,95
7.41935,97
7.44282,104
7.46628,115
7.48974,105
7.5132,105
7.53666,101
7.56012,121
7.58358,115
7.60704,98
7.6305,101
7.65396,97
7.67742,101
7.70088,94
7.72434,99
7.7478,105
7.77126,103
7.79472,109
7.81818,122
7.84164,138
7.8651,183
7.88856,224
7.91202,331
7.93548,413
7.95894,487
7.9824,644
8.00587,645
8.02933,724
8.05279,747
8.07625,702
8.09971,586
8.12317,460
8.14663,376
8.17009,248
8.19355,222
8.21701,178
8.24047,127
8.26393,112
8.28739,122
8.31085,106
8.33431,99
8.35777,112
8.38123,116
8.40469,98
8.42815,110
8.45161,114
8.47507,91
8.49853,102
8.52199,121
8.54545,112
8.56892,125
8.59238,118
8.61584,110
8.6393,111
8.66276,131
8.68622,113
8.70968,139
8.73314,116
8.7566,142
8.78006,151
8.80352,161
8.82698,183
8.85044,229
8.8739,218
8.89736,188
8.92082,209
8.94428,206
8.96774,174
8.9912,153
9.01466,160
9.03812,131
9.06158,143
9.08504,124
9.1085,118
9.13196,123
9.15543,104
9.17889,128
9.20235,102
9.22581,107
9.24927,114
9.27273,117
9.29619,101
9.31965,99
9.34311,115
9.36657,93
9.39003,119
9.41349,125
9.43695,96
9.46041,112
9.48387,109
9.50733,119
9.53079,108
9.55425,104
9.57771,127
9.60117,115
9.62463,114
9.64809,109
9.67155,128
9.69501,113
9.71848,118
9.74194,127
9.7654,116
9.78886,107
9.81232,114
9.83578,115
9.85924,85
9.8827,114
9.90616,115
9.92962,113
9.95308,107
9.97654,141
10,116
10.0235,130
10.0469,121
10.0704,118
10.0938,111
10.1173,112
10.1408,111
10.1642,124
10.1877,113
10.2111,120
10.2346,113
10.2581,104
10.2815,125
10.305,140
10.3284,105
10.3519,125
10.3754,121
10.3988,114
10.4223,128
10.4457,118
10.4692,102
10.4927,117
10.5161,135
10.5396,138
10.5631,124
10.5865,139
10.61,112
10.6334,111
10.6569,111
10.6804,128
10.7038,119
10.7273,119
10.7507,126
10.7742,148
10.7977,120
10.8211,132
10.8446,112
10.868,123
10.8915,143
10.915,113
10.9384,123
10.9619,126
10.9853,139
11.0088,127
11.0323,145
11.0557,106
11.0792,127
11.1026,129
11.1261,140
11.1496,119
11.173,138
11.1965,126
11.2199,129
11.2434,127
11.2669,113
11.2903,132
11.3138,129
11.3372,119
11.3607,124
11.3842,111
11.4076,132
11.4311,110
11.4545,122
11.478,141
11.5015,108
11.5249,120
11.5484,121
11.5718,109
11.5953,145
11.6188,131
11.6422,128
11.6657,109
11.6891,123
11.7126,138
11.7361,140
11.7595,123
11.783,155
11.8065,132
11.8299,132
11.8534,125
11.8768,128
11.9003,138
11.9238,132
11.9472,140
11.9707,134
11.9941,132
12.0176,140
12.0411,122
12.0645,154
12.088,113
12.1114,112
12.1349,138
12.1584,109
12.1818,127
12.2053,141
12.2287,139
12.2522,134
12.2757,121
12.2991,133
12.3226,151
12.346,121
12.3695,112
12.393,134
12.4164,143
12.4399,129
12.4633,146
12.4868,135
12.5103,141
12.5337,127
12.5572,146
12.5806,136
12.6041,127
12.6276,147
12.651,147
12.6745,134
12.6979,125
12.7214,136
12.7449,147
12.7683,143
12.7918,127
12.8152,153
12.8387,147
12.8622,141
12.8856,135
12.9091,128
12.9326,127
12.956,134
12.9795,135
13.0029,135
13.0264,125
13.0499,142
13.0733,143
13.0968,126
13.1202,130
13.1437,146
13.1672,141
13.1906,149
13.2141,125
13.2375,140
13.261,147
13.2845,146
13.3079,135
13.3314,137
13.3548,129
13.3783,141
13.4018,134
13.4252,139
13.4487,152
13.4721,130
13.4956,175
13.5191,136
13.5425,127
13.566,132
13.5894,154
13.6129,151
13.6364,135
13.6598,153
13.6833,139
13.7067,140
13.7302,159
13.7537,149
13.7771,150
13.8006,140
13.824,131
13.8475,128
13.871,147
13.8944,141
13.9179,135
13.9413,151
13.9648,127
13.9883,142
14.0117,140
14.0352,137
14.0587,148
14.0821,150
14.1056,162
14.129,160
14.1525,163
14.176,150
14.1994,134
14.2229,130
14.2463,151
14.2698,150
14.2933,149
14.3167,128
14.3402,149
14.3636,149
14.3871,149
14.4106,143
14.434,155
14.4575,165
14.4809,118
14.5044,145
14.5279,150
14.5513,166
14.5748,132
14.5982,151
14.6217,135
14.6452,162
14.6686,146
14.6921,149
14.7155,164
14.739,142
14.7625,165
14.7859,148
14.8094,167
14.8328,165
14.8563,137
14.8798,155
14.9032,142
14.9267,171
14.9501,148
14.9736,149
14.9971,135
15.0205,150
15.044,151
15.0674,151
15.0909,152
15.1144,140
15.1378,140
15.1613,158
15.1848,138
15.2082,150
15.2317,153
15.2551,152
15.2786,162
15.3021,165
15.3255,153
15.349,160
15.3724,168
15.3959,168
15.4194,163
15.4428,157
15.4663,163
15.4897,166
15.5132,163
15.5367,155
15.5601,165
15.5836,188
15.607,163
15.6305,139
15.654,152
15.6774,179
15.7009,143
15.7243,162
15.7478,159
15.7713,156
15.7947,163
15.8182,160
15.8416,172
15.8651,158
15.8886,179
15.912,145
15.9355,158
15.9589,151
15.9824,171
16.0059,159
16.0293,162
16.0528,166
16.0762,160
16.0997,143
16.1232,176
16.1466,154
16.1701,161
16.1935,181
16.217,158
16.2405,155
16.2639,162
16.2874,156
16.3109,189
16.3343,162
16.3578,162
16.3812,152
16.4047,145
16.4282,190
16.4516,168
16.4751,143
16.4985,167
16.522,162
16.5455,177
16.5689,185
16.5924,185
16.6158,156
16.6393,168
16.6628,153
16.6862,162
16.7097,180
16.7331,171
16.7566,147
16.7801,156
16.8035,166
16.827,183
16.8504,159
16.8739,174
16.8974,158
16.9208,151
16.9443,195
16.9677,183
16.9912,140
17.0147,185
17.0381,164
17.0616,179
17.085,157
17.1085,162
17.132,171
17.1554,188
17.1789,191
17.2023,201
17.2258,210
17.2493,243
17.2727,231
17.2962,303
17.3196,302
17.3431,342
17.3666,361
17.39,386
17.4135,411
17.437,434
17.4604,422
17.4839,472
17.5073,392
17.5308,421
17.5543,377
17.5777,339
17.6012,294
17.6246,338
17.6481,291
17.6716,265
17.695,239
17.7185,218
17.7419,192
17.7654,199
17.7889,193
17.8123,189
17.8358,166
17.8592,185
17.8827,178
17.9062,180
17.9296,172
17.9531,152
17.9765,179
18,175
18.0235,171
18.0469,198
18.0704,163
18.0938,149
18.1173,198
18.1408,197
18.1642,177
18.1877,170
18.2111,185
18.2346,155
18.2581,174
18.2815,190
18.305,206
18.3284,216
18.3519,184
18.3754,162
18.3988,181
18.4223,164
18.4457,174
18.4692,184
18.4927,186
18.5161,168
18.5396,171
18.563,180
18.5865,185
18.61,194
18.6334,176
18.6569,157
18.6804,177
18.7038,186
18.7273,162
18.7507,198
18.7742,180
18.7977,183
18.8211,174
18.8446,203
18.868,180
18.8915,168
18.915,186
18.9384,193
18.9619,185
18.9853,170
19.0088,191
19.0323,204
19.0557,178
19.0792,159
19.1026,192
19.1261,189
19.1496,185
19.173,189
19.1965,197
19.2199,183
19.2434,164
19.2669,196
19.2903,210
19.3138,205
19.3372,215
19.3607,205
19.3842,233
19.4076,233
19.4311,276
19.4545,267
19.478,277
19.5015,301
19.5249,334
19.5484,331
19.5718,328
19.5953,335
19.6188,304
19.6422,292
19.6657,313
19.6891,305
19.7126,315
19.7361,275
19.7595,250
19.783,261
19.8065,248
19.8299,186
19.8534,218
19.8768,212
19.9003,180
19.9238,217
19.9472,203
19.9707,204
19.9941,181
20.0176,192
20.0411,194
20.0645,180
20.088,203
20.1114,189
20.1349,189
20.1584,192
20.1818,202
20.2053,213
20.2287,219
20.2522,186
20.2757,209
20.2991,200
20.3226,190
20.346,208
20.3695,209
20.393,218
20.4164,201
20.4399,206
20.4633,180
20.4868,195
20.5103,198
20.5337,179
20.5572,190
20.5806,199
20.6041,180
20.6276,209
20.651,189
20.6745,210
20.6979,232
20.7214,220
20.7449,210
20.7683,191
20.7918,195
20.8152,223
20.8387,219
20.8622,187
20.8856,208
20.9091,218
20.9326,192
20.956,196
20.9795,202
21.0029,201
21.0264,219
21.0499,203
21.0733,203
21.0968,227
21.1202,203
21.1437,191
21.1672,189
21.1906,204
21.2141,207
21.2375,187
21.261,218
21.2845,188
21.3079,180
21.3314,200
21.3548,190
21.3783,219
21.4018,189
21.4252,185
21.4487,218
21.4721,218
21.4956,212
21.5191,207
21.5425,201
21.566,258
21.5894,234
21.6129,251
21.6364,243
21.6598,252
21.6833,256
21.7067,247
21.7302,264
21.7537,276
21.7771,286
21.8006,294
21.824,313
21.8475,391
21.871,348
21.8944,379
21.9179,393
21.9413,424
21.9648,447
21.9883,457
22.0117,508
22.0352,552
22.0587,569
22.0821,588
22.1056,644
22.129,561
22.1525,613
22.176,588
22.1994,592
22.2229,551
22.2463,546
22.2698,556
22.2933,469
22.3167,496
22.3402,487
22.3636,470
22.3871,415
22.4106,385
22.434,362
22.4575,356
22.4809,312
22.5044,328
22.5279,296
22.5513,272
22.5748,273
22.5982,253
22.6217,236
22.6452,231
22.6686,224
22.6921,227
22.7155,231
22.739,237
22.7625,254
22.7859,237
22.8094,220
22.8328,226
22.8563,228
22.8798,214
22.9032,245
22.9267,227
22.9501,214
22.9736,186
22.9971,204
23.0205,211
23.044,233
23.0674,214
23.0909,215
23.1144,233
23.1378,217
