Energy,Counts
2,141
2.02346,146
2.04692,130
2.07038,125
2.09384,151
2.1173,142
2.14076,127
2.16422,120
2.18768,154
2.21114,129
2.2346,113
2.25806,124
2.28152,115
2.30499,123
2.32845,100
2.35191,116
2.37537,123
2.39883,125
2.42229,115
2.44575,134
2.46921,108
2.49267,119
2.51613,126
2.53959,118
2.56305,107
2.58651,113
2.60997,127
2.63343,135
2.65689,134
2.68035,111
2.70381,135
2.72727,107
2.75073,144
2.77419,106
2.79765,140
2.82111,97
2.84457,142
2.86804,125
2.8915,124
2.91496,114
2.93842,118
2.96188,121
2.98534,120
3.0088,92
3.03226,94
3.05572,124
3.07918,114
3.10264,124
3.1261,126
3.14956,124
3.17302,124
3.19648,103
3.21994,138
3.2434,135
3.26686,134
3.29032,128
3.31378,133
3.33724,111
3.3607,125
3.38416,90
3.40762,126
3.43109,132
3.45455,103
3.47801,113
3.50147,110
3.52493,117
3.54839,136
3.57185,121
3.59531,126
3.61877,107
3.64223,111
3.66569,129
3.68915,127
3.71261,121
3.73607,130
3.75953,107
3.78299,127
3.80645,82
3.82991,127
3.85337,98
3.87683,115
3.90029,101
3.92375,114
3.94721,119
3.97067,101
3.99413,117
4.0176,111
4.04106,120
4.06452,110
4.08798,147
4.11144,122
4.1349,108
4.15836,112
4.18182,115
4.20528,124
4.22874,123
4.2522,118
4.27566,126
4.29912,132
4.32258,111
4.34604,117
4.3695,99
4.39296,110
4.41642,110
4.43988,106
4.46334,105
4.4868,113
4.51026,108
4.53372,110
4.55718,117
4.58065,112
4.60411,145
4.62757,104
4.65103,101
4.67449,102
4.69795,115
4.72141,111
4.74487,106
4.76833,97
4.79179,98
4.81525,122
4.83871,88
4.86217,113
4.88563,116
4.90909,102
4.93255,115
4.95601,106
4.97947,108
5.00293,112
5.02639,127
5.04985,109
5.07331,126
5.09677,116
5.12023,122
5.14369,119
5.16716,112
5.19062,102
5.21408,119
5.23754,128
5.261,104
5.28446,112
5.30792,97
5.33138,107
5.35484,132
5.3783,119
5.40176,116
5.42522,102
5.44868,112
5.47214,103
5.4956,98
5.51906,109
5.54252,118
5.56598,115
5.58944,110
5.6129,91
5.63636,98
5.65982,121
5.68328,89
5.70674,105
5.73021,106
5.75367,106
5.77713,92
5.80059,102
5.82405,116
5.84751,114
5.87097,98
5.89443,105
5.91789,105
5.94135,108
5.96481,99
5.98827,102
6.01173,109
6.03519,121
6.05865,120
6.08211,118
6.10557,120
6.12903,123
6.15249,123
6.17595,121
6.19941,130
6.22287,189
6.24633,203
6.26979,269
6.29326,357
6.31672,476
6.34018,619
6.36364,750
6.3871,777
6.41056,740
6.43402,698
6.45748,567
6.48094,451
6.5044,339
6.52786,239
6.55132,177
6.57478,147
6.59824,104
6.6217,128
6.64516,123
6.66862,110
6.69208,110
6.71554,116
6.739,100
6.76246,80
6.78592,107
6.80938,125
6.83284,122
6.85631,95
6.87977,143
6.90323,150
6.92669,135
6.95015,162
6.97361,168
6.99707,203
7.02053,198
7.04399,192
7.06745,198
7.09091,199
7.11437,203
7.13783,191
7.16129,149
7.18475,131
7.20821,130
7.23167,109
7.25513,105
7.27859,76
7.30205,103
7.32551,109
7.34897,112
7.37243,123
7.39589,115
7.41935,98
7.44282,115
7.46628,118
7.48974,106
7.5132,101
7.53666,104
7.56012,110
7.58358,123
7.60704,113
7.6305,114
7.65396,112
7.67742,137
7.70088,135
7.72434,124
7.7478,138
7.77126,147
7.79472,171
7.81818,185
7.84164,221
7.8651,263
7.88856,295
7.91202,339
7.93548,385
7.95894,420
7.9824,473
8.00587,479
8.02933,535
8.05279,515
8.07625,467
8.09971,491
8.12317,391
8.14663,382
8.17009,363
8.19355,329
8.21701,273
8.24047,226
8.26393,212
8.28739,157
8.31085,173
8.33431,161
8.35777,130
8.38123,126
8.40469,147
8.42815,142
8.45161,151
8.47507,192
8.49853,231
8.52199,246
8.54545,308
8.56892,357
8.59238,351
8.61584,394
8.6393,437
8.66276,411
8.68622,412
8.70968,366
8.73314,316
8.7566,281
8.78006,275
8.80352,218
8.82698,223
8.85044,167
8.8739,170
8.89736,152
8.92082,138
8.94428,135
8.96774,155
8.9912,133
9.01466,105
9.03812,122
9.06158,127
9.08504,112
9.1085,107
9.13196,127
9.15543,113
9.17889,133
9.20235,121
9.22581,120
9.24927,128
9.27273,110
9.29619,136
9.31965,110
9.34311,117
9.36657,127
9.39003,134
9.41349,121
9.43695,125
9.46041,149
9.48387,131
9.50733,166
9.53079,178
9.55425,146
9.57771,165
9.60117,158
9.62463,165
9.64809,146
9.67155,134
9.69501,154
9.71848,134
9.74194,129
9.7654,121
9.78886,138
9.81232,121
9.83578,126
9.85924,135
9.8827,123
9.90616,114
9.92962,121
9.95308,122
9.97654,92
10,121
10.0235,122
10.0469,139
10.0704,120
10.0938,114
10.1173,149
10.1408,123
10.1642,137
10.1877,129
10.2111,125
10.2346,118
10.2581,119
10.2815,118
10.305,132
10.3284,120
10.3519,127
10.3754,120
10.3988,111
10.4223,133
10.4457,148
10.4692,112
10.4927,133
10.5161,129
10.5396,121
10.5631,136
10.5865,126
10.61,109
10.6334,125
10.6569,142
10.6804,146
10.7038,131
10.7273,147
10.7507,120
10.7742,119
10.7977,118
10.8211,136
10.8446,127
10.868,126
10.8915,133
10.915,157
10.9384,128
10.9619,140
10.9853,119
11.0088,130
11.0323,151
11.0557,121
11.0792,131
11.1026,134
11.1261,147
11.1496,135
11.173,153
11.1965,113
11.2199,135
11.2434,137
11.2669,149
11.2903,126
11.3138,146
11.3372,134
11.3607,137
11.3842,135
11.4076,121
11.4311,140
11.4545,137
11.478,127
11.5015,132
11.5249,118
11.5484,140
11.5718,118
11.5953,130
11.6188,150
11.6422,115
11.6657,128
11.6891,129
11.7126,116
11.7361,154
11.7595,139
11.783,136
11.8065,117
11.8299,131
11.8534,146
11.8768,148
11.9003,131
11.9238,163
11.9472,140
11.9707,140
11.9941,133
12.0176,136
12.0411,147
12.0645,140
12.088,149
12.1114,143
12.1349,140
12.1584,148
12.1818,130
12.2053,163
12.2287,120
12.2522,120
12.2757,147
12.2991,117
12.3226,135
12.346,149
12.3695,147
12.393,143
12.4164,128
12.4399,142
12.4633,160
12.4868,129
12.5103,120
12.5337,143
12.5572,151
12.5806,137
12.6041,155
12.6276,143
12.651,150
12.6745,135
12.6979,145
12.7214,135
12.7449,156
12.7683,156
12.7918,142
12.8152,133
12.8387,144
12.8622,156
12.8856,152
12.9091,135
12.9326,162
12.956,155
12.9795,149
13.0029,143
13.0264,137
13.0499,135
13.0733,142
13.0968,143
13.1202,143
13.1437,133
13.1672,150
13.1906,151
13.2141,134
13.2375,139
13.261,155
13.2845,149
13.3079,157
13.3314,133
13.3548,149
13.3783,155
13.4018,155
13.4252,143
13.4487,145
13.4721,138
13.4956,149
13.5191,142
13.5425,147
13.566,161
13.5894,138
13.6129,185
13.6364,145
13.6598,136
13.6833,140
13.7067,163
13.7302,160
13.7537,144
13.7771,148
13.8006,148
13.824,168
13.8475,158
13.871,170
13.8944,159
13.9179,149
13.9413,140
13.9648,136
13.9883,156
14.0117,149
14.0352,144
14.0587,160
14.0821,135
14.1056,151
14.129,149
14.1525,145
14.176,157
14.1994,159
14.2229,171
14.2463,169
14.2698,173
14.2933,159
14.3167,142
14.3402,139
14.3636,160
14.3871,159
14.4106,158
14.434,137
14.4575,158
14.4809,158
14.5044,159
14.5279,152
14.5513,164
14.5748,174
14.5982,126
14.6217,154
14.6452,159
14.6686,176
14.6921,140
14.7155,160
14.739,144
14.7625,172
14.7859,155
14.8094,159
14.8328,173
14.8563,151
14.8798,174
14.9032,157
14.9267,176
14.9501,174
14.9736,145
14.9971,165
15.0205,151
15.044,180
15.0674,157
15.0909,158
15.1144,144
15.1378,159
15.1613,161
15.1848,161
15.2082,162
15.2317,148
15.2551,149
15.2786,168
15.3021,147
15.3255,159
15.349,162
15.3724,161
15.3959,172
15.4194,175
15.4428,162
15.4663,170
15.4897,178
15.5132,178
15.5367,173
15.5601,166
15.5836,172
15.607,176
15.6305,173
15.654,164
15.6774,175
15.7009,199
15.7243,173
15.7478,148
15.7713,161
15.7947,190
15.8182,152
15.8416,172
15.8651,169
15.8886,166
15.912,173
15.9355,170
15.9589,182
15.9824,168
16.0059,189
16.0293,154
16.0528,167
16.0762,161
16.0997,181
16.1232,169
16.1466,172
16.1701,176
16.1935,169
16.217,153
16.2405,187
16.2639,163
16.2874,171
16.3109,192
16.3343,168
16.3578,165
16.3812,172
16.4047,165
16.4282,200
16.4516,172
16.4751,172
16.4985,162
16.522,155
16.5455,201
16.5689,178
16.5924,137
16.6158,153
16.6393,177
16.6628,172
16.6862,187
16.7097,195
16.7331,195
16.7566,166
16.7801,179
16.8035,163
16.827,173
16.8504,191
16.8739,181
16.8974,156
16.9208,166
16.9443,176
16.9677,194
16.9912,169
17.0147,185
17.0381,168
17.0616,161
17.085,206
17.1085,193
17.132,149
17.1554,195
17.1789,173
17.2023,188
17.2258,164
17.2493,166
17.2727,172
17.2962,183
17.3196,178
17.3431,178
17.3666,174
17.39,187
17.4135,160
17.437,199
17.4604,177
17.4839,186
17.5073,180
17.5308,180
17.5543,183
17.5777,189
17.6012,177
17.6246,210
17.6481,164
17.6716,194
17.695,180
17.7185,171
17.7419,157
17.7654,212
17.7889,197
17.8123,195
17.8358,185
17.8592,173
17.8827,189
17.9062,190
17.9296,191
17.9531,171
17.9765,192
18,186
18.0235,189
18.0469,182
18.0704,162
18.0938,190
18.1173,185
18.1408,182
18.1642,210
18.1877,173
18.2111,159
18.2346,209
18.2581,208
18.2815,188
18.305,181
18.3284,196
18.3519,165
18.3754,185
18.3988,202
18.4223,218
18.4457,228
18.4692,195
18.4927,173
18.5161,192
18.5396,175
18.563,185
18.5865,195
18.61,197
18.6334,178
18.6569,182
18.6804,191
18.7038,196
18.7273,205
18.7507,187
18.7742,167
18.7977,188
18.8211,197
18.8446,173
18.868,210
18.8915,191
18.915,194
18.9384,185
18.9619,215
18.9853,191
19.0088,178
19.0323,197
19.0557,205
19.0792,197
19.1026,181
19.1261,203
19.1496,216
19.173,189
19.1965,169
19.2199,204
19.2434,200
19.2669,195
19.2903,199
19.3138,207
19.3372,190
19.3607,169
19.3842,199
19.4076,209
19.4311,198
19.4545,201
19.478,184
19.5015,201
19.5249,191
19.5484,217
19.5718,197
19.5953,195
19.6188,204
19.6422,222
19.6657,213
19.6891,205
19.7126,209
19.7361,186
19.7595,181
19.783,205
19.8065,207
19.8299,227
19.8534,205
19.8768,194
19.9003,216
19.9238,215
19.9472,204
19.9707,205
19.9941,179
20.0176,219
20.0411,209
20.0645,212
20.088,190
20.1114,202
20.1349,205
20.1584,190
20.1818,215
20.2053,200
20.2287,201
20.2522,204
20.2757,214
20.2991,225
20.3226,232
20.346,197
20.3695,221
20.393,212
20.4164,202
20.4399,220
20.4633,221
20.4868,230
20.5103,213
20.5337,218
20.5572,192
20.5806,206
20.6041,210
20.6276,190
20.651,201
20.6745,210
20.6979,191
20.7214,221
20.7449,201
20.7683,222
20.7918,244
20.8152,232
20.8387,222
20.8622,203
20.8856,207
20.9091,235
20.9326,232
20.956,199
20.9795,220
21.0029,231
21.0264,203
21.0499,208
21.0733,214
21.0968,213
21.1202,232
21.1437,215
21.1672,215
21.1906,239
21.2141,216
21.2375,203
21.261,200
21.2845,216
21.3079,219
21.3314,199
21.3548,231
21.3783,200
21.4018,192
21.4252,212
21.4487,201
21.4721,231
