Energy,Counts
1,122
1.00481,127
1.00962,134
1.01443,125
1.01924,126
1.02405,108
1.02886,116
1.03368,114
1.03849,125
1.0433,144
1.04811,132
1.05292,104
1.05773,143
1.06254,131
1.06735,119
1.07216,125
1.07697,124
1.08178,121
1.08659,116
1.0914,125
1.09621,127
1.10103,141
1.10584,109
1.11065,110
1.11546,131
1.12027,104
1.12508,121
1.12989,113
1.1347,128
1.13951,121
1.14432,129
1.14913,122
1.15394,123
1.15875,142
1.16357,132
1.16838,123
1.17319,108
1.178,153
1.18281,120
1.18762,117
1.19243,118
1.19724,105
1.20205,124
1.20686,124
1.21167,117
1.21648,127
1.22129,118
1.2261,130
1.23092,108
1.23573,133
1.24054,113
1.24535,119
1.25016,119
1.25497,136
1.25978,111
1.26459,118
1.2694,123
1.27421,122
1.27902,128
1.28383,135
1.28864,106
1.29346,120
1.29827,114
1.30308,105
1.30789,131
1.3127,96
1.31751,112
1.32232,123
1.32713,107
1.33194,150
1.33675,122
1.34156,111
1.34637,139
1.35118,142
1.356,142
1.36081,125
1.36562,134
1.37043,131
1.37524,122
1.38005,131
1.38486,131
1.38967,114
1.39448,118
1.39929,105
1.4041,134
1.40891,125
1.41372,139
1.41853,117
1.42335,104
1.42816,107
1.43297,119
1.43778,99
1.44259,124
1.4474,120
1.45221,111
1.45702,115
1.46183,123
1.46664,138
1.47145,106
1.47626,89
1.48107,126
1.48589,118
1.4907,132
1.49551,99
1.50032,116
1.50513,127
1.50994,123
1.51475,118
1.51956,129
1.52437,116
1.52918,128
1.53399,126
1.5388,129
1.54361,116
1.54842,118
1.55324,131
1.55805,122
1.56286,121
1.56767,123
1.57248,104
1.57729,134
1.5821,126
1.58691,103
1.59172,119
1.59653,139
1.60134,121
1.60615,121
1.61096,123
1.61578,142
1.62059,142
1.6254,131
1.63021,125
1.63502,143
1.63983,118
1.64464,116
1.64945,109
1.65426,126
1.65907,118
1.66388,132
1.66869,119
1.6735,115
1.67832,140
1.68313,114
1.68794,117
1.69275,107
1.69756,128
1.70237,142
1.70718,140
1.71199,118
1.7168,110
1.72161,129
1.72642,129
1.73123,109
1.73604,123
1.74085,122
1.74567,127
1.75048,112
1.75529,106
1.7601,112
1.76491,131
1.76972,122
1.77453,112
1.77934,109
1.78415,91
1.78896,113
1.79377,133
1.79858,122
1.80339,120
1.80821,123
1.81302,111
1.81783,122
1.82264,103
1.82745,99
1.83226,116
1.83707,140
1.84188,98
1.84669,114
1.8515,122
1.85631,148
1.86112,114
1.86593,124
1.87074,123
1.87556,121
1.88037,120
1.88518,155
1.88999,114
1.8948,131
1.89961,129
1.90442,126
1.90923,107
1.91404,122
1.91885,140
1.92366,99
1.92847,107
1.93328,103
1.9381,115
1.94291,125
1.94772,120
1.95253,118
1.95734,114
1.96215,91
1.96696,125
1.97177,122
1.97658,119
1.98139,116
1.9862,114
1.99101,118
1.99582,108
2.00063,97
2.00545,129
2.01026,134
2.01507,103
2.01988,119
2.02469,98
2.0295,122
2.03431,136
2.03912,111
2.04393,126
2.04874,122
2.05355,117
2.05836,110
2.06317,103
2.06799,116
2.0728,108
2.07761,106
2.08242,119
2.08723,104
2.09204,110
2.09685,103
2.10166,124
2.10647,123
2.11128,106
2.11609,123
2.1209,118
2.12571,134
2.13053,126
2.13534,127
2.14015,128
2.14496,134
2.14977,124
2.15458,107
2.15939,119
2.1642,118
2.16901,111
2.17382,119
2.17863,115
2.18344,122
2.18825,136
2.19306,109
2.19788,115
2.20269,116
2.2075,110
2.21231,132
2.21712,117
2.22193,135
2.22674,114
2.23155,107
2.23636,109
2.24117,118
2.24598,118
2.25079,107
2.2556,127
2.26042,116
2.26523,112
2.27004,118
2.27485,119
2.27966,115
2.28447,134
2.28928,103
2.29409,129
2.2989,114
2.30371,136
2.30852,115
2.31333,95
2.31814,106
2.32295,130
2.32777,120
2.33258,108
2.33739,110
2.3422,129
2.34701,120
2.35182,112
2.35663,122
2.36144,115
2.36625,115
2.37106,99
